"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1604","POST - create a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","1860","PUT - update a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","2580","logout link exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
"","2654","home page title test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
"","6579","test checkout flow @smoke","chromium","2026-06-29","passed","2026-06-29","","CheckoutPagefix.spec.ts","",""
"","2535","home page headers exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
