"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42799","home page headers exist test @smoke","chromium","2026-06-29","broken","2026-06-29","","Homepagefix.spec.ts","",""
"","40190","logout link exist test @smoke","chromium","2026-06-29","broken","2026-06-29","","Homepagefix.spec.ts","",""
"","43048","test checkout flow @smoke","chromium","2026-06-29","broken","2026-06-29","","CheckoutPagefix.spec.ts","",""
"","42984","home page title test @smoke","chromium","2026-06-29","broken","2026-06-29","","Homepagefix.spec.ts","",""
"","2040","PUT - update a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","2072","POST - create a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
